s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1
			*V-Obs-V	Max	ID-C	ID-lat
	moela	0.0	0	0	0	1
	moea	0.0	0	1	0	0
moep-ta$$$s12$p1	moepta	1.0	0	0	0	0
	moewta	0.0	0	0	1	0
	moelta	0.0	0	0	0	1
	moeta	0.0	0	1	0	0
kkip-a$$$s13$p0	kkipa	0.0	1	0	0	0
	kkiwa	1.0	0	0	1	0
	kkila	0.0	0	0	0	1
	kkia	0.0	0	1	0	0
kkip-ta$$$s13$p1	kkipta	1.0	0	0	0	0
	kkiwta	0.0	0	0	1	0
	kkilta	0.0	0	0	0	1
	kkita	0.0	0	1	0	0
kkop-a$$$s14$p0	kkopa	0.0	1	0	0	0
	kkowa	1.0	0	0	1	0
	kkola	0.0	0	0	0	1
	kkoa	0.0	0	1	0	0
kkop-ta$$$s14$p1	kkopta	1.0	0	0	0	0
	kkowta	0.0	0	0	1	0
	kkolta	0.0	0	0	0	1
	kkota	0.0	0	1	0	0
ssaep-a$$$s15$p0	ssaepa	0.0	1	0	0	0
	ssaewa	1.0	0	0	1	0
	ssaela	0.0	0	0	0	1
	ssaea	0.0	0	1	0	0
ssaep-ta$$$s15$p1	ssaepta	1.0	0	0	0	0
	ssaewta	0.0	0	0	1	0
	ssaelta	0.0	0	0	0	1
	ssaeta	0.0	0	1	0	0
chap-a$$$s16$p0	chapa	0.0	1	0	0	0
	chawa	1.0	0	0	1	0
	chala	0.0	0	0	0	1
	chaa	0.0	0	1	0	0
chap-ta$$$s16$p1	chapta	1.0	0	0	0	0
	chawta	0.0	0	0	1	0
	chalta	0.0	0	0	0	1
	chata	0.0	0	1	0	0
rep-a$$$s17$p0	repa	0.0	1	0	0	0
	rewa	1.0	0	0	1	0
	rela	0.0	0	0	0	1
	rea	0.0	0	1	0	0
rep-ta$$$s17$p1	repta	1.0	0	0	0	0
	rewta	0.0	0	0	1	0
	relta	0.0	0	0	0	1
	reta	0.0	0	1	0	0
kop-a$$$s18$p0	kopa	0.0	1	0	0	0
	kowa	1.0	0	0	1	0
	kola	0.0	0	0	0	1
	koa	0.0	0	1	0	0
kop-ta$$$s18$p1	kopta	1.0	0	0	0	0
	kowta	0.0	0	0	1	0
	kolta	0.0	0	0	0	1
	kota	0.0	0	1	0	0
teup-a$$$s19$p0	teupa	0.0	1	0	0	0
	teuwa	1.0	0	0	1	0
	teula	0.0	0	0	0	1
	teua	0.0	0	1	0	0
teup-ta$$$s19$p1	teupta	1.0	0	0	0	0
	teuwta	0.0	0	0	1	0
	teulta	0.0	0	0	0	1
	teuta	0.0	0	1	0	0
cheop-a$$$s20$p0	cheopa	0.0	1	0	0	0
	cheowa	1.0	0	0	1	0
	cheola	0.0	0	0	0	1
	cheoa	0.0	0	1	0	0
cheop-ta$$$s20$p1	cheopta	1.0	0	0	0	0
	cheowta	0.0	0	0	1	0
	cheolta	0.0	0	0	0	1
	cheota	0.0	0	1	0	0
tep-a$$$s21$p0	tepa	0.0	1	0	0	0
	tewa	1.0	0	0	1	0
	tela	0.0	0	0	0	1
	tea	0.0	0	1	0	0
tep-ta$$$s21$p1	tepta	1.0	0	0	0	0
	tewta	0.0	0	0	1	0
	telta	0.0	0	0	0	1
	teta	0.0	0	1	0	0
heup-a$$$s22$p0	heupa	0.0	1	0	0	0
	heuwa	1.0	0	0	1	0
	heula	0.0	0	0	0	1
	heua	0.0	0	1	0	0
heup-ta$$$s22$p1	heupta	1.0	0	0	0	0
	heuwta	0.0	0	0	1	0
	heulta	0.0	0	0	0	1
	heuta	0.0	0	1	0	0
rwip-a$$$s23$p0	rwipa	0.0	1	0	0	0
	rwiwa	1.0	0	0	1	0
	rwila	0.0	0	0	0	1
	rwia	0.0	0	1	0	0
rwip-ta$$$s23$p1	rwipta	1.0	0	0	0	0
	rwiwta	0.0	0	0	1	0
	rwilta	0.0	0	0	0	1
	rwita	0.0	0	1	0	0
jjwip-a$$$s24$p0	jjwipa	0.0	1	0	0	0
	jjwiwa	1.0	0	0	1	0
	jjwila	0.0	0	0	0	1
	jjwia	0.0	0	1	0	0
jjwip-ta$$$s24$p1	jjwipta	1.0	0	0	0	0
	jjwiwta	0.0	0	0	1	0
	jjwilta	0.0	0	0	0	1
	jjwita	0.0	0	1	0	0
paep-a$$$s25$p0	paepa	0.0	1	0	0	0
	paewa	1.0	0	0	1	0
	paela	0.0	0	0	0	1
	paea	0.0	0	1	0	0
paep-ta$$$s25$p1	paepta	1.0	0	0	0	0
	paewta	0.0	0	0	1	0
	paelta	0.0	0	0	0	1
	paeta	0.0	0	1	0	0
bop-a$$$s26$p0	bopa	0.0	1	0	0	0
	bowa	1.0	0	0	1	0
	bola	0.0	0	0	0	1
	boa	0.0	0	1	0	0
bop-ta$$$s26$p1	bopta	1.0	0	0	0	0
	bowta	0.0	0	0	1	0
	bolta	0.0	0	0	0	1
	bota	0.0	0	1	0	0
bup-a$$$s27$p0	bupa	0.0	1	0	0	0
	buwa	1.0	0	0	1	0
	bula	0.0	0	0	0	1
	bua	0.0	0	1	0	0
bup-ta$$$s27$p1	bupta	1.0	0	0	0	0
	buwta	0.0	0	0	1	0
	bulta	0.0	0	0	0	1
	buta	0.0	0	1	0	0
mip-a$$$s28$p0	mipa	0.0	1	0	0	0
	miwa	1.0	0	0	1	0
	mila	0.0	0	0	0	1
	mia	0.0	0	1	0	0
mip-ta$$$s28$p1	mipta	1.0	0	0	0	0
	miwta	0.0	0	0	1	0
	milta	0.0	0	0	0	1
	mita	0.0	0	1	0	0
dwip-a$$$s29$p0	dwipa	0.0	1	0	0	0
	dwiwa	1.0	0	0	1	0
	dwila	0.0	0	0	0	1
	dwia	0.0	0	1	0	0
dwip-ta$$$s29$p1	dwipta	1.0	0	0	0	0
	dwiwta	0.0	0	0	1	0
	dwilta	0.0	0	0	0	1
	dwita	0.0	0	1	0	0
choep-a$$$s30$p0	choepa	0.0	1	0	0	0
	choewa	1.0	0	0	1	0
	choela	0.0	0	0	0	1
	choea	0.0	0	1	0	0
choep-ta$$$s30$p1	choepta	1.0	0	0	0	0
	choewta	0.0	0	0	1	0
	choelta	0.0	0	0	0	1
	choeta	0.0	0	1	0	0
sop-a$$$s31$p0	sopa	0.0	1	0	0	0
	sowa	1.0	0	0	1	0
	sola	0.0	0	0	0	1
	soa	0.0	0	1	0	0
sop-ta$$$s31$p1	sopta	1.0	0	0	0	0
	sowta	0.0	0	0	1	0
	solta	0.0	0	0	0	1
	sota	0.0	0	1	0	0
swip-a$$$s32$p0	swipa	0.0	1	0	0	0
	swiwa	1.0	0	0	1	0
	swila	0.0	0	0	0	1
	swia	0.0	0	1	0	0
swip-ta$$$s32$p1	swipta	1.0	0	0	0	0
	swiwta	0.0	0	0	1	0
	swilta	0.0	0	0	0	1
	swita	0.0	0	1	0	0
pwip-a$$$s33$p0	pwipa	0.0	1	0	0	0
	pwiwa	1.0	0	0	1	0
	pwila	0.0	0	0	0	1
	pwia	0.0	0	1	0	0
pwip-ta$$$s33$p1	pwipta	1.0	0	0	0	0
	pwiwta	0.0	0	0	1	0
	pwilta	0.0	0	0	0	1
	pwita	0.0	0	1	0	0
jjeop-a$$$s34$p0	jjeopa	0.0	1	0	0	0
	jjeowa	1.0	0	0	1	0
	jjeola	0.0	0	0	0	1
	jjeoa	0.0	0	1	0	0
jjeop-ta$$$s34$p1	jjeopta	1.0	0	0	0	0
	jjeowta	0.0	0	0	1	0
	jjeolta	0.0	0	0	0	1
	jjeota	0.0	0	1	0	0
keop-a$$$s35$p0	keopa	0.0	1	0	0	0
	keowa	1.0	0	0	1	0
	keola	0.0	0	0	0	1
	keoa	0.0	0	1	0	0
keop-ta$$$s35$p1	keopta	1.0	0	0	0	0
	keowta	0.0	0	0	1	0
	keolta	0.0	0	0	0	1
	keota	0.0	0	1	0	0
soep-a$$$s36$p0	soepa	0.0	1	0	0	0
	soewa	1.0	0	0	1	0
	soela	0.0	0	0	0	1
	soea	0.0	0	1	0	0
soep-ta$$$s36$p1	soepta	1.0	0	0	0	0
	soewta	0.0	0	0	1	0
	soelta	0.0	0	0	0	1
	soeta	0.0	0	1	0	0
ssap-a$$$s37$p0	ssapa	0.0	1	0	0	0
	ssawa	1.0	0	0	1	0
	ssala	0.0	0	0	0	1
	ssaa	0.0	0	1	0	0
ssap-ta$$$s37$p1	ssapta	1.0	0	0	0	0
	ssawta	0.0	0	0	1	0
	ssalta	0.0	0	0	0	1
	ssata	0.0	0	1	0	0
taep-a$$$s38$p0	taepa	0.0	1	0	0	0
	taewa	1.0	0	0	1	0
	taela	0.0	0	0	0	1
	taea	0.0	0	1	0	0
taep-ta$$$s38$p1	taepta	1.0	0	0	0	0
	taewta	0.0	0	0	1	0
	taelta	0.0	0	0	0	1
	taeta	0.0	0	1	0	0
mwip-a$$$s39$p0	mwipa	0.0	1	0	0	0
	mwiwa	1.0	0	0	1	0
	mwila	0.0	0	0	0	1
	mwia	0.0	0	1	0	0
mwip-ta$$$s39$p1	mwipta	1.0	0	0	0	0
	mwiwta	0.0	0	0	1	0
	mwilta	0.0	0	0	0	1
	mwita	0.0	0	1	0	0
rup-a$$$s40$p0	rupa	0.0	1	0	0	0
	ruwa	1.0	0	0	1	0
	rula	0.0	0	0	0	1
	rua	0.0	0	1	0	0
rup-ta$$$s40$p1	rupta	1.0	0	0	0	0
	ruwta	0.0	0	0	1	0
	rulta	0.0	0	0	0	1
	ruta	0.0	0	1	0	0
chwip-a$$$s41$p0	chwipa	0.0	1	0	0	0
	chwiwa	1.0	0	0	1	0
	chwila	0.0	0	0	0	1
	chwia	0.0	0	1	0	0
chwip-ta$$$s41$p1	chwipta	1.0	0	0	0	0
	chwiwta	0.0	0	0	1	0
	chwilta	0.0	0	0	0	1
	chwita	0.0	0	1	0	0
bep-a$$$s42$p0	bepa	0.0	1	0	0	0
	bewa	1.0	0	0	1	0
	bela	0.0	0	0	0	1
	bea	0.0	0	1	0	0
bep-ta$$$s42$p1	bepta	1.0	0	0	0	0
	bewta	0.0	0	0	1	0
	belta	0.0	0	0	0	1
	beta	0.0	0	1	0	0
peup-a$$$s43$p0	peupa	0.0	1	0	0	0
	peuwa	1.0	0	0	1	0
	peula	0.0	0	0	0	1
	peua	0.0	0	1	0	0
peup-ta$$$s43$p1	peupta	1.0	0	0	0	0
	peuwta	0.0	0	0	1	0
	peulta	0.0	0	0	0	1
	peuta	0.0	0	1	0	0
ppep-a$$$s44$p0	ppepa	0.0	1	0	0	0
	ppewa	1.0	0	0	1	0
	ppela	0.0	0	0	0	1
	ppea	0.0	0	1	0	0
ppep-ta$$$s44$p1	ppepta	1.0	0	0	0	0
	ppewta	0.0	0	0	1	0
	ppelta	0.0	0	0	0	1
	ppeta	0.0	0	1	0	0
chop-a$$$s45$p0	chopa	0.0	1	0	0	0
	chowa	1.0	0	0	1	0
	chola	0.0	0	0	0	1
	choa	0.0	0	1	0	0
chop-ta$$$s45$p1	chopta	1.0	0	0	0	0
	chowta	0.0	0	0	1	0
	cholta	0.0	0	0	0	1
	chota	0.0	0	1	0	0
keup-a$$$s46$p0	keupa	0.0	1	0	0	0
	keuwa	1.0	0	0	1	0
	keula	0.0	0	0	0	1
	keua	0.0	0	1	0	0
keup-ta$$$s46$p1	keupta	1.0	0	0	0	0
	keuwta	0.0	0	0	1	0
	keulta	0.0	0	0	0	1
	keuta	0.0	0	1	0	0
geup-a$$$s47$p0	geupa	0.0	1	0	0	0
	geuwa	1.0	0	0	1	0
	geula	0.0	0	0	0	1
	geua	0.0	0	1	0	0
geup-ta$$$s47$p1	geupta	1.0	0	0	0	0
	geuwta	0.0	0	0	1	0
	geulta	0.0	0	0	0	1
	geuta	0.0	0	1	0	0
nip-a$$$s48$p0	nipa	0.0	1	0	0	0
	niwa	1.0	0	0	1	0
	nila	0.0	0	0	0	1
	nia	0.0	0	1	0	0
nip-ta$$$s48$p1	nipta	1.0	0	0	0	0
	niwta	0.0	0	0	1	0
	nilta	0.0	0	0	0	1
	nita	0.0	0	1	0	0
ppip-a$$$s49$p0	ppipa	0.0	1	0	0	0
	ppiwa	1.0	0	0	1	0
	ppila	0.0	0	0	0	1
	ppia	0.0	0	1	0	0
ppip-ta$$$s49$p1	ppipta	1.0	0	0	0	0
	ppiwta	0.0	0	0	1	0
	ppilta	0.0	0	0	0	1
	ppita	0.0	0	1	0	0
saep-a$$$s50$p0	saepa	0.0	1	0	0	0
	saewa	1.0	0	0	1	0
	saela	0.0	0	0	0	1
	saea	0.0	0	1	0	0
saep-ta$$$s50$p1	saepta	1.0	0	0	0	0
	saewta	0.0	0	0	1	0
	saelta	0.0	0	0	0	1
	saeta	0.0	0	1	0	0
noep-a$$$s51$p0	noepa	0.0	1	0	0	0
	noewa	1.0	0	0	1	0
	noela	0.0	0	0	0	1
	noea	0.0	0	1	0	0
noep-ta$$$s51$p1	noepta	1.0	0	0	0	0
	noewta	0.0	0	0	1	0
	noelta	0.0	0	0	0	1
	noeta	0.0	0	1	0	0
kkap-a$$$s52$p0	kkapa	0.0	1	0	0	0
	kkawa	1.0	0	0	1	0
	kkala	0.0	0	0	0	1
	kkaa	0.0	0	1	0	0
kkap-ta$$$s52$p1	kkapta	1.0	0	0	0	0
	kkawta	0.0	0	0	1	0
	kkalta	0.0	0	0	0	1
	kkata	0.0	0	1	0	0
jjup-a$$$s53$p0	jjupa	0.0	1	0	0	0
	jjuwa	1.0	0	0	1	0
	jjula	0.0	0	0	0	1
	jjua	0.0	0	1	0	0
jjup-ta$$$s53$p1	jjupta	1.0	0	0	0	0
	jjuwta	0.0	0	0	1	0
	jjulta	0.0	0	0	0	1
	jjuta	0.0	0	1	0	0
gwip-a$$$s54$p0	gwipa	0.0	1	0	0	0
	gwiwa	1.0	0	0	1	0
	gwila	0.0	0	0	0	1
	gwia	0.0	0	1	0	0
gwip-ta$$$s54$p1	gwipta	1.0	0	0	0	0
	gwiwta	0.0	0	0	1	0
	gwilta	0.0	0	0	0	1
	gwita	0.0	0	1	0	0
jjep-a$$$s55$p0	jjepa	0.0	1	0	0	0
	jjewa	1.0	0	0	1	0
	jjela	0.0	0	0	0	1
	jjea	0.0	0	1	0	0
jjep-ta$$$s55$p1	jjepta	1.0	0	0	0	0
	jjewta	0.0	0	0	1	0
	jjelta	0.0	0	0	0	1
	jjeta	0.0	0	1	0	0
meup-a$$$s56$p0	meupa	0.0	1	0	0	0
	meuwa	1.0	0	0	1	0
	meula	0.0	0	0	0	1
	meua	0.0	0	1	0	0
meup-ta$$$s56$p1	meupta	1.0	0	0	0	0
	meuwta	0.0	0	0	1	0
	meulta	0.0	0	0	0	1
	meuta	0.0	0	1	0	0
ttop-a$$$s57$p0	ttopa	0.0	1	0	0	0
	ttowa	1.0	0	0	1	0
	ttola	0.0	0	0	0	1
	ttoa	0.0	0	1	0	0
ttop-ta$$$s57$p1	ttopta	1.0	0	0	0	0
	ttowta	0.0	0	0	1	0
	ttolta	0.0	0	0	0	1
	ttota	0.0	0	1	0	0
jep-a$$$s58$p0	jepa	0.0	1	0	0	0
	jewa	1.0	0	0	1	0
	jela	0.0	0	0	0	1
	jea	0.0	0	1	0	0
jep-ta$$$s58$p1	jepta	1.0	0	0	0	0
	jewta	0.0	0	0	1	0
	jelta	0.0	0	0	0	1
	jeta	0.0	0	1	0	0
daep-a$$$s59$p0	daepa	0.0	1	0	0	0
	daewa	1.0	0	0	1	0
	daela	0.0	0	0	0	1
	daea	0.0	0	1	0	0
daep-ta$$$s59$p1	daepta	1.0	0	0	0	0
	daewta	0.0	0	0	1	0
	daelta	0.0	0	0	0	1
	daeta	0.0	0	1	0	0
joep-a$$$s60$p0	joepa	0.0	1	0	0	0
	joewa	1.0	0	0	1	0
	joela	0.0	0	0	0	1
	joea	0.0	0	1	0	0
joep-ta$$$s60$p1	joepta	1.0	0	0	0	0
	joewta	0.0	0	0	1	0
	joelta	0.0	0	0	0	1
	joeta	0.0	0	1	0	0
mop-a$$$s61$p0	mopa	0.0	1	0	0	0
	mowa	1.0	0	0	1	0
	mola	0.0	0	0	0	1
	moa	0.0	0	1	0	0
mop-ta$$$s61$p1	mopta	1.0	0	0	0	0
	mowta	0.0	0	0	1	0
	molta	0.0	0	0	0	1
	mota	0.0	0	1	0	0
mep-a$$$s62$p0	mepa	0.0	1	0	0	0
	mewa	1.0	0	0	1	0
	mela	0.0	0	0	0	1
	mea	0.0	0	1	0	0
mep-ta$$$s62$p1	mepta	1.0	0	0	0	0
	mewta	0.0	0	0	1	0
	melta	0.0	0	0	0	1
	meta	0.0	0	1	0	0
ssoep-a$$$s63$p0	ssoepa	0.0	1	0	0	0
	ssoewa	1.0	0	0	1	0
	ssoela	0.0	0	0	0	1
	ssoea	0.0	0	1	0	0
ssoep-ta$$$s63$p1	ssoepta	1.0	0	0	0	0
	ssoewta	0.0	0	0	1	0
	ssoelta	0.0	0	0	0	1
	ssoeta	0.0	0	1	0	0
ttaep-a$$$s64$p0	ttaepa	0.0	1	0	0	0
	ttaewa	1.0	0	0	1	0
	ttaela	0.0	0	0	0	1
	ttaea	0.0	0	1	0	0
ttaep-ta$$$s64$p1	ttaepta	1.0	0	0	0	0
	ttaewta	0.0	0	0	1	0
	ttaelta	0.0	0	0	0	1
	ttaeta	0.0	0	1	0	0
reop-a$$$s65$p0	reopa	0.0	1	0	0	0
	reowa	1.0	0	0	1	0
	reola	0.0	0	0	0	1
	reoa	0.0	0	1	0	0
reop-ta$$$s65$p1	reopta	1.0	0	0	0	0
	reowta	0.0	0	0	1	0
	reolta	0.0	0	0	0	1
	reota	0.0	0	1	0	0
jjop-a$$$s66$p0	jjopa	0.0	1	0	0	0
	jjowa	1.0	0	0	1	0
	jjola	0.0	0	0	0	1
	jjoa	0.0	0	1	0	0
jjop-ta$$$s66$p1	jjopta	1.0	0	0	0	0
	jjowta	0.0	0	0	1	0
	jjolta	0.0	0	0	0	1
	jjota	0.0	0	1	0	0
ppap-a$$$s67$p0	ppapa	0.0	1	0	0	0
	ppawa	1.0	0	0	1	0
	ppala	0.0	0	0	0	1
	ppaa	0.0	0	1	0	0
ppap-ta$$$s67$p1	ppapta	1.0	0	0	0	0
	ppawta	0.0	0	0	1	0
	ppalta	0.0	0	0	0	1
	ppata	0.0	0	1	0	0
jaep-a$$$s68$p0	jaepa	1.0	1	0	0	0
	jaewa	0.0	0	0	1	0
	jaela	0.0	0	0	0	1
	jaea	0.0	0	1	0	0
jaep-ta$$$s68$p1	jaepta	1.0	0	0	0	0
	jaewta	0.0	0	0	1	0
	jaelta	0.0	0	0	0	1
	jaeta	0.0	0	1	0	0
kkep-a$$$s69$p0	kkepa	1.0	1	0	0	0
	kkewa	0.0	0	0	1	0
	kkela	0.0	0	0	0	1
	kkea	0.0	0	1	0	0
kkep-ta$$$s69$p1	kkepta	1.0	0	0	0	0
	kkewta	0.0	0	0	1	0
	kkelta	0.0	0	0	0	1
	kketa	0.0	0	1	0	0
jjip-a$$$s70$p0	jjipa	1.0	1	0	0	0
	jjiwa	0.0	0	0	1	0
	jjila	0.0	0	0	0	1
	jjia	0.0	0	1	0	0
jjip-ta$$$s70$p1	jjipta	1.0	0	0	0	0
	jjiwta	0.0	0	0	1	0
	jjilta	0.0	0	0	0	1
	jjita	0.0	0	1	0	0
rap-a$$$s71$p0	rapa	1.0	1	0	0	0
	rawa	0.0	0	0	1	0
	rala	0.0	0	0	0	1
	raa	0.0	0	1	0	0
rap-ta$$$s71$p1	rapta	1.0	0	0	0	0
	rawta	0.0	0	0	1	0
	ralta	0.0	0	0	0	1
	rata	0.0	0	1	0	0
toep-a$$$s72$p0	toepa	1.0	1	0	0	0
	toewa	0.0	0	0	1	0
	toela	0.0	0	0	0	1
	toea	0.0	0	1	0	0
toep-ta$$$s72$p1	toepta	1.0	0	0	0	0
	toewta	0.0	0	0	1	0
	toelta	0.0	0	0	0	1
	toeta	0.0	0	1	0	0
tat-a$$$s73$p0	tata	0.0	1	0	0	0
	taja	0.0	0	0	1	0
	tala	1.0	0	0	0	1
	taa	0.0	0	1	0	0
tat-ta$$$s73$p1	tatta	1.0	0	0	0	0
	tajta	0.0	0	0	1	0
	talta	0.0	0	0	0	1
	tata	0.0	0	1	0	0
jat-a$$$s74$p0	jata	0.0	1	0	0	0
	jaja	0.0	0	0	1	0
	jala	1.0	0	0	0	1
	jaa	0.0	0	1	0	0
jat-ta$$$s74$p1	jatta	1.0	0	0	0	0
	jajta	0.0	0	0	1	0
	jalta	0.0	0	0	0	1
	jata	0.0	0	1	0	0
ket-a$$$s75$p0	keta	0.0	1	0	0	0
	keja	0.0	0	0	1	0
	kela	1.0	0	0	0	1
	kea	0.0	0	1	0	0
ket-ta$$$s75$p1	ketta	1.0	0	0	0	0
	kejta	0.0	0	0	1	0
	kelta	0.0	0	0	0	1
	keta	0.0	0	1	0	0
pot-a$$$s76$p0	pota	0.0	1	0	0	0
	poja	0.0	0	0	1	0
	pola	1.0	0	0	0	1
	poa	0.0	0	1	0	0
pot-ta$$$s76$p1	potta	1.0	0	0	0	0
	pojta	0.0	0	0	1	0
	polta	0.0	0	0	0	1
	pota	0.0	0	1	0	0
chit-a$$$s77$p0	chita	0.0	1	0	0	0
	chija	0.0	0	0	1	0
	chila	1.0	0	0	0	1
	chia	0.0	0	1	0	0
chit-ta$$$s77$p1	chitta	1.0	0	0	0	0
	chijta	0.0	0	0	1	0
	chilta	0.0	0	0	0	1
	chita	0.0	0	1	0	0
ppeut-a$$$s78$p0	ppeuta	1.0	1	0	0	0
	ppeuja	0.0	0	0	1	0
	ppeula	0.0	0	0	0	1
	ppeua	0.0	0	1	0	0
ppeut-ta$$$s78$p1	ppeutta	1.0	0	0	0	0
	ppeujta	0.0	0	0	1	0
	ppeulta	0.0	0	0	0	1
	ppeuta	0.0	0	1	0	0
goet-a$$$s79$p0	goeta	1.0	1	0	0	0
	goeja	0.0	0	0	1	0
	goela	0.0	0	0	0	1
	goea	0.0	0	1	0	0
goet-ta$$$s79$p1	goetta	1.0	0	0	0	0
	goejta	0.0	0	0	1	0
	goelta	0.0	0	0	0	1
	goeta	0.0	0	1	0	0
jot-a$$$s80$p0	jota	1.0	1	0	0	0
	joja	0.0	0	0	1	0
	jola	0.0	0	0	0	1
	joa	0.0	0	1	0	0
jot-ta$$$s80$p1	jotta	1.0	0	0	0	0
	jojta	0.0	0	0	1	0
	jolta	0.0	0	0	0	1
	jota	0.0	0	1	0	0
pput-a$$$s81$p0	pputa	1.0	1	0	0	0
	ppuja	0.0	0	0	1	0
	ppula	0.0	0	0	0	1
	ppua	0.0	0	1	0	0
pput-ta$$$s81$p1	pputta	1.0	0	0	0	0
	ppujta	0.0	0	0	1	0
