s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1	p2	p3	p4	p5
			*V-Obs-V	Max	ID-C	ID-lat
gop-a$$$s4$p0	gopa	0.0	1	0	0	0
	gowa	1.0	0	0	1	0
	gola	0.0	0	0	0	1
	goa	0.0	0	1	0	0
gop-ta$$$s4$p1	gopta	1.0	0	0	0	0
	gowta	0.0	0	0	1	0
	golta	0.0	0	0	0	1
	gota	0.0	0	1	0	0
gop-e$$$s4$p2	gope	0.0	1	0	0	0
	gowe	1.0	0	0	1	0
	gole	0.0	0	0	0	1
	goe	0.0	0	1	0	0
gop-te$$$s4$p3	gopte	1.0	0	0	0	0
	gowte	0.0	0	0	1	0
	golte	0.0	0	0	0	1
	gote	0.0	0	1	0	0
gop-i$$$s4$p4	gopi	0.0	1	0	0	0
	gowi	1.0	0	0	1	0
	goli	0.0	0	0	0	1
	goi	0.0	0	1	0	0
gop-ti$$$s4$p5	gopti	1.0	0	0	0	0
	gowti	0.0	0	0	1	0
	golti	0.0	0	0	0	1
	goti	0.0	0	1	0	0
bwip-a$$$s5$p0	bwipa	0.0	1	0	0	0
	bwiwa	1.0	0	0	1	0
	bwila	0.0	0	0	0	1
	bwia	0.0	0	1	0	0
bwip-ta$$$s5$p1	bwipta	1.0	0	0	0	0
	bwiwta	0.0	0	0	1	0
	bwilta	0.0	0	0	0	1
	bwita	0.0	0	1	0	0
bwip-e$$$s5$p2	bwipe	0.0	1	0	0	0
	bwiwe	1.0	0	0	1	0
	bwile	0.0	0	0	0	1
	bwie	0.0	0	1	0	0
bwip-te$$$s5$p3	bwipte	1.0	0	0	0	0
	bwiwte	0.0	0	0	1	0
	bwilte	0.0	0	0	0	1
	bwite	0.0	0	1	0	0
bwip-i$$$s5$p4	bwipi	0.0	1	0	0	0
	bwiwi	1.0	0	0	1	0
	bwili	0.0	0	0	0	1
	bwii	0.0	0	1	0	0
bwip-ti$$$s5$p5	bwipti	1.0	0	0	0	0
	bwiwti	0.0	0	0	1	0
	bwilti	0.0	0	0	0	1
	bwiti	0.0	0	1	0	0
seup-a$$$s6$p0	seupa	0.0	1	0	0	0
	seuwa	1.0	0	0	1	0
	seula	0.0	0	0	0	1
	seua	0.0	0	1	0	0
seup-ta$$$s6$p1	seupta	1.0	0	0	0	0
	seuwta	0.0	0	0	1	0
	seulta	0.0	0	0	0	1
	seuta	0.0	0	1	0	0
seup-e$$$s6$p2	seupe	0.0	1	0	0	0
	seuwe	1.0	0	0	1	0
	seule	0.0	0	0	0	1
	seue	0.0	0	1	0	0
seup-te$$$s6$p3	seupte	1.0	0	0	0	0
	seuwte	0.0	0	0	1	0
	seulte	0.0	0	0	0	1
	seute	0.0	0	1	0	0
seup-i$$$s6$p4	seupi	0.0	1	0	0	0
	seuwi	1.0	0	0	1	0
	seuli	0.0	0	0	0	1
	seui	0.0	0	1	0	0
seup-ti$$$s6$p5	seupti	1.0	0	0	0	0
	seuwti	0.0	0	0	1	0
	seulti	0.0	0	0	0	1
	seuti	0.0	0	1	0	0
dep-a$$$s7$p0	depa	0.0	1	0	0	0
	dewa	1.0	0	0	1	0
	dela	0.0	0	0	0	1
	dea	0.0	0	1	0	0
dep-ta$$$s7$p1	depta	1.0	0	0	0	0
	dewta	0.0	0	0	1	0
	delta	0.0	0	0	0	1
	deta	0.0	0	1	0	0
dep-e$$$s7$p2	depe	0.0	1	0	0	0
	dewe	1.0	0	0	1	0
	dele	0.0	0	0	0	1
	dee	0.0	0	1	0	0
dep-te$$$s7$p3	depte	1.0	0	0	0	0
	dewte	0.0	0	0	1	0
	delte	0.0	0	0	0	1
	dete	0.0	0	1	0	0
dep-i$$$s7$p4	depi	0.0	1	0	0	0
	dewi	1.0	0	0	1	0
	deli	0.0	0	0	0	1
	dei	0.0	0	1	0	0
dep-ti$$$s7$p5	depti	1.0	0	0	0	0
	dewti	0.0	0	0	1	0
	delti	0.0	0	0	0	1
	deti	0.0	0	1	0	0
dop-a$$$s8$p0	dopa	0.0	1	0	0	0
	dowa	1.0	0	0	1	0
	dola	0.0	0	0	0	1
	doa	0.0	0	1	0	0
dop-ta$$$s8$p1	dopta	1.0	0	0	0	0
	dowta	0.0	0	0	1	0
	dolta	0.0	0	0	0	1
	dota	0.0	0	1	0	0
dop-e$$$s8$p2	dope	0.0	1	0	0	0
	dowe	1.0	0	0	1	0
	dole	0.0	0	0	0	1
	doe	0.0	0	1	0	0
dop-te$$$s8$p3	dopte	1.0	0	0	0	0
	dowte	0.0	0	0	1	0
	dolte	0.0	0	0	0	1
	dote	0.0	0	1	0	0
dop-i$$$s8$p4	dopi	0.0	1	0	0	0
	dowi	1.0	0	0	1	0
	doli	0.0	0	0	0	1
	doi	0.0	0	1	0	0
dop-ti$$$s8$p5	dopti	1.0	0	0	0	0
	dowti	0.0	0	0	1	0
	dolti	0.0	0	0	0	1
	doti	0.0	0	1	0	0
baep-a$$$s9$p0	baepa	0.0	1	0	0	0
	baewa	1.0	0	0	1	0
	baela	0.0	0	0	0	1
	baea	0.0	0	1	0	0
baep-ta$$$s9$p1	baepta	1.0	0	0	0	0
	baewta	0.0	0	0	1	0
	baelta	0.0	0	0	0	1
	baeta	0.0	0	1	0	0
baep-e$$$s9$p2	baepe	0.0	1	0	0	0
	baewe	1.0	0	0	1	0
	baele	0.0	0	0	0	1
	baee	0.0	0	1	0	0
baep-te$$$s9$p3	baepte	1.0	0	0	0	0
	baewte	0.0	0	0	1	0
	baelte	0.0	0	0	0	1
	baete	0.0	0	1	0	0
baep-i$$$s9$p4	baepi	0.0	1	0	0	0
	baewi	1.0	0	0	1	0
	baeli	0.0	0	0	0	1
	baei	0.0	0	1	0	0
baep-ti$$$s9$p5	baepti	1.0	0	0	0	0
	baewti	0.0	0	0	1	0
	baelti	0.0	0	0	0	1
	baeti	0.0	0	1	0	0
nep-a$$$s10$p0	nepa	0.0	1	0	0	0
	newa	1.0	0	0	1	0
	nela	0.0	0	0	0	1
	nea	0.0	0	1	0	0
nep-ta$$$s10$p1	nepta	1.0	0	0	0	0
	newta	0.0	0	0	1	0
	nelta	0.0	0	0	0	1
	neta	0.0	0	1	0	0
nep-e$$$s10$p2	nepe	0.0	1	0	0	0
	newe	1.0	0	0	1	0
	nele	0.0	0	0	0	1
	nee	0.0	0	1	0	0
nep-te$$$s10$p3	nepte	1.0	0	0	0	0
	newte	0.0	0	0	1	0
	nelte	0.0	0	0	0	1
	nete	0.0	0	1	0	0
nep-i$$$s10$p4	nepi	0.0	1	0	0	0
	newi	1.0	0	0	1	0
	neli	0.0	0	0	0	1
	nei	0.0	0	1	0	0
nep-ti$$$s10$p5	nepti	1.0	0	0	0	0
	newti	0.0	0	0	1	0
	nelti	0.0	0	0	0	1
	neti	0.0	0	1	0	0
kkeup-a$$$s11$p0	kkeupa	0.0	1	0	0	0
	kkeuwa	1.0	0	0	1	0
	kkeula	0.0	0	0	0	1
	kkeua	0.0	0	1	0	0
kkeup-ta$$$s11$p1	kkeupta	1.0	0	0	0	0
	kkeuwta	0.0	0	0	1	0
	kkeulta	0.0	0	0	0	1
	kkeuta	0.0	0	1	0	0
kkeup-e$$$s11$p2	kkeupe	0.0	1	0	0	0
	kkeuwe	1.0	0	0	1	0
	kkeule	0.0	0	0	0	1
	kkeue	0.0	0	1	0	0
kkeup-te$$$s11$p3	kkeupte	1.0	0	0	0	0
	kkeuwte	0.0	0	0	1	0
	kkeulte	0.0	0	0	0	1
	kkeute	0.0	0	1	0	0
kkeup-i$$$s11$p4	kkeupi	0.0	1	0	0	0
	kkeuwi	1.0	0	0	1	0
	kkeuli	0.0	0	0	0	1
	kkeui	0.0	0	1	0	0
kkeup-ti$$$s11$p5	kkeupti	1.0	0	0	0	0
	kkeuwti	0.0	0	0	1	0
	kkeulti	0.0	0	0	0	1
	kkeuti	0.0	0	1	0	0
moep-a$$$s12$p0	moepa	0.0	1	0	0	0
	moewa	1.0	0	0	1	0
	moela	0.0	0	0	0	1
	moea	0.0	0	1	0	0
moep-ta$$$s12$p1	moepta	1.0	0	0	0	0
	moewta	0.0	0	0	1	0
	moelta	0.0	0	0	0	1
	moeta	0.0	0	1	0	0
moep-e$$$s12$p2	moepe	0.0	1	0	0	0
	moewe	1.0	0	0	1	0
	moele	0.0	0	0	0	1
	moee	0.0	0	1	0	0
moep-te$$$s12$p3	moepte	1.0	0	0	0	0
	moewte	0.0	0	0	1	0
	moelte	0.0	0	0	0	1
	moete	0.0	0	1	0	0
moep-i$$$s12$p4	moepi	0.0	1	0	0	0
	moewi	1.0	0	0	1	0
	moeli	0.0	0	0	0	1
	moei	0.0	0	1	0	0
moep-ti$$$s12$p5	moepti	1.0	0	0	0	0
	moewti	0.0	0	0	1	0
	moelti	0.0	0	0	0	1
	moeti	0.0	0	1	0	0
kkip-a$$$s13$p0	kkipa	0.0	1	0	0	0
	kkiwa	1.0	0	0	1	0
	kkila	0.0	0	0	0	1
	kkia	0.0	0	1	0	0
kkip-ta$$$s13$p1	kkipta	1.0	0	0	0	0
	kkiwta	0.0	0	0	1	0
	kkilta	0.0	0	0	0	1
	kkita	0.0	0	1	0	0
kkip-e$$$s13$p2	kkipe	0.0	1	0	0	0
	kkiwe	1.0	0	0	1	0
	kkile	0.0	0	0	0	1
	kkie	0.0	0	1	0	0
kkip-te$$$s13$p3	kkipte	1.0	0	0	0	0
	kkiwte	0.0	0	0	1	0
	kkilte	0.0	0	0	0	1
	kkite	0.0	0	1	0	0
kkip-i$$$s13$p4	kkipi	0.0	1	0	0	0
	kkiwi	1.0	0	0	1	0
	kkili	0.0	0	0	0	1
	kkii	0.0	0	1	0	0
kkip-ti$$$s13$p5	kkipti	1.0	0	0	0	0
	kkiwti	0.0	0	0	1	0
	kkilti	0.0	0	0	0	1
	kkiti	0.0	0	1	0	0
kkop-a$$$s14$p0	kkopa	0.0	1	0	0	0
	kkowa	1.0	0	0	1	0
	kkola	0.0	0	0	0	1
	kkoa	0.0	0	1	0	0
kkop-ta$$$s14$p1	kkopta	1.0	0	0	0	0
	kkowta	0.0	0	0	1	0
	kkolta	0.0	0	0	0	1
	kkota	0.0	0	1	0	0
kkop-e$$$s14$p2	kkope	0.0	1	0	0	0
	kkowe	1.0	0	0	1	0
	kkole	0.0	0	0	0	1
	kkoe	0.0	0	1	0	0
kkop-te$$$s14$p3	kkopte	1.0	0	0	0	0
	kkowte	0.0	0	0	1	0
	kkolte	0.0	0	0	0	1
	kkote	0.0	0	1	0	0
kkop-i$$$s14$p4	kkopi	0.0	1	0	0	0
	kkowi	1.0	0	0	1	0
	kkoli	0.0	0	0	0	1
	kkoi	0.0	0	1	0	0
kkop-ti$$$s14$p5	kkopti	1.0	0	0	0	0
	kkowti	0.0	0	0	1	0
	kkolti	0.0	0	0	0	1
	kkoti	0.0	0	1	0	0
ssaep-a$$$s15$p0	ssaepa	0.0	1	0	0	0
	ssaewa	1.0	0	0	1	0
	ssaela	0.0	0	0	0	1
	ssaea	0.0	0	1	0	0
ssaep-ta$$$s15$p1	ssaepta	1.0	0	0	0	0
	ssaewta	0.0	0	0	1	0
	ssaelta	0.0	0	0	0	1
	ssaeta	0.0	0	1	0	0
ssaep-e$$$s15$p2	ssaepe	0.0	1	0	0	0
	ssaewe	1.0	0	0	1	0
	ssaele	0.0	0	0	0	1
	ssaee	0.0	0	1	0	0
ssaep-te$$$s15$p3	ssaepte	1.0	0	0	0	0
	ssaewte	0.0	0	0	1	0
	ssaelte	0.0	0	0	0	1
	ssaete	0.0	0	1	0	0
ssaep-i$$$s15$p4	ssaepi	0.0	1	0	0	0
	ssaewi	1.0	0	0	1	0
	ssaeli	0.0	0	0	0	1
	ssaei	0.0	0	1	0	0
ssaep-ti$$$s15$p5	ssaepti	1.0	0	0	0	0
	ssaewti	0.0	0	0	1	0
	ssaelti	0.0	0	0	0	1
	ssaeti	0.0	0	1	0	0
chap-a$$$s16$p0	chapa	0.0	1	0	0	0
	chawa	1.0	0	0	1	0
	chala	0.0	0	0	0	1
	chaa	0.0	0	1	0	0
chap-ta$$$s16$p1	chapta	1.0	0	0	0	0
	chawta	0.0	0	0	1	0
	chalta	0.0	0	0	0	1
	chata	0.0	0	1	0	0
chap-e$$$s16$p2	chape	0.0	1	0	0	0
	chawe	1.0	0	0	1	0
	chale	0.0	0	0	0	1
	chae	0.0	0	1	0	0
chap-te$$$s16$p3	chapte	1.0	0	0	0	0
	chawte	0.0	0	0	1	0
	chalte	0.0	0	0	0	1
	chate	0.0	0	1	0	0
chap-i$$$s16$p4	chapi	0.0	1	0	0	0
	chawi	1.0	0	0	1	0
	chali	0.0	0	0	0	1
	chai	0.0	0	1	0	0
chap-ti$$$s16$p5	chapti	1.0	0	0	0	0
	chawti	0.0	0	0	1	0
	chalti	0.0	0	0	0	1
	chati	0.0	0	1	0	0
rep-a$$$s17$p0	repa	0.0	1	0	0	0
	rewa	1.0	0	0	1	0
	rela	0.0	0	0	0	1
	rea	0.0	0	1	0	0
rep-ta$$$s17$p1	repta	1.0	0	0	0	0
	rewta	0.0	0	0	1	0
	relta	0.0	0	0	0	1
	reta	0.0	0	1	0	0
rep-e$$$s17$p2	repe	0.0	1	0	0	0
	rewe	1.0	0	0	1	0
	rele	0.0	0	0	0	1
	ree	0.0	0	1	0	0
rep-te$$$s17$p3	repte	1.0	0	0	0	0
	rewte	0.0	0	0	1	0
	relte	0.0	0	0	0	1
	rete	0.0	0	1	0	0
rep-i$$$s17$p4	repi	0.0	1	0	0	0
	rewi	1.0	0	0	1	0
	reli	0.0	0	0	0	1
	rei	0.0	0	1	0	0
rep-ti$$$s17$p5	repti	1.0	0	0	0	0
	rewti	0.0	0	0	1	0
	relti	0.0	0	0	0	1
	reti	0.0	0	1	0	0
kop-a$$$s18$p0	kopa	0.0	1	0	0	0
	kowa	1.0	0	0	1	0
	kola	0.0	0	0	0	1
	koa	0.0	0	1	0	0
kop-ta$$$s18$p1	kopta	1.0	0	0	0	0
	kowta	0.0	0	0	1	0
	kolta	0.0	0	0	0	1
	kota	0.0	0	1	0	0
kop-e$$$s18$p2	kope	0.0	1	0	0	0
	kowe	1.0	0	0	1	0
	kole	0.0	0	0	0	1
	koe	0.0	0	1	0	0
kop-te$$$s18$p3	kopte	1.0	0	0	0	0
	kowte	0.0	0	0	1	0
	kolte	0.0	0	0	0	1
	kote	0.0	0	1	0	0
kop-i$$$s18$p4	kopi	0.0	1	0	0	0
	kowi	1.0	0	0	1	0
	koli	0.0	0	0	0	1
	koi	0.0	0	1	0	0
kop-ti$$$s18$p5	kopti	1.0	0	0	0	0
	kowti	0.0	0	0	1	0
	kolti	0.0	0	0	0	1
	koti	0.0	0	1	0	0
teup-a$$$s19$p0	teupa	0.0	1	0	0	0
	teuwa	1.0	0	0	1	0
	teula	0.0	0	0	0	1
	teua	0.0	0	1	0	0
teup-ta$$$s19$p1	teupta	1.0	0	0	0	0
	teuwta	0.0	0	0	1	0
	teulta	0.0	0	0	0	1
	teuta	0.0	0	1	0	0
teup-e$$$s19$p2	teupe	0.0	1	0	0	0
	teuwe	1.0	0	0	1	0
	teule	0.0	0	0	0	1
	teue	0.0	0	1	0	0
teup-te$$$s19$p3	teupte	1.0	0	0	0	0
	teuwte	0.0	0	0	1	0
	teulte	0.0	0	0	0	1
	teute	0.0	0	1	0	0
teup-i$$$s19$p4	teupi	0.0	1	0	0	0
	teuwi	1.0	0	0	1	0
	teuli	0.0	0	0	0	1
	teui	0.0	0	1	0	0
teup-ti$$$s19$p5	teupti	1.0	0	0	0	0
	teuwti	0.0	0	0	1	0
	teulti	0.0	0	0	0	1
	teuti	0.0	0	1	0	0
cheop-a$$$s20$p0	cheopa	0.0	1	0	0	0
	cheowa	1.0	0	0	1	0
	cheola	0.0	0	0	0	1
	cheoa	0.0	0	1	0	0
cheop-ta$$$s20$p1	cheopta	1.0	0	0	0	0
	cheowta	0.0	0	0	1	0
	cheolta	0.0	0	0	0	1
	cheota	0.0	0	1	0	0
cheop-e$$$s20$p2	cheope	0.0	1	0	0	0
	cheowe	1.0	0	0	1	0
	cheole	0.0	0	0	0	1
	cheoe	0.0	0	1	0	0
cheop-te$$$s20$p3	cheopte	1.0	0	0	0	0
	cheowte	0.0	0	0	1	0
	cheolte	0.0	0	0	0	1
	cheote	0.0	0	1	0	0
cheop-i$$$s20$p4	cheopi	0.0	1	0	0	0
	cheowi	1.0	0	0	1	0
	cheoli	0.0	0	0	0	1
	cheoi	0.0	0	1	0	0
cheop-ti$$$s20$p5	cheopti	1.0	0	0	0	0
	cheowti	0.0	0	0	1	0
	cheolti	0.0	0	0	0	1
	cheoti	0.0	0	1	0	0
tep-a$$$s21$p0	tepa	0.0	1	0	0	0
	tewa	1.0	0	0	1	0
	tela	0.0	0	0	0	1
	tea	0.0	0	1	0	0
tep-ta$$$s21$p1	tepta	1.0	0	0	0	0
	tewta	0.0	0	0	1	0
	telta	0.0	0	0	0	1
	teta	0.0	0	1	0	0
tep-e$$$s21$p2	tepe	0.0	1	0	0	0
	tewe	1.0	0	0	1	0
	tele	0.0	0	0	0	1
	tee	0.0	0	1	0	0
tep-te$$$s21$p3	tepte	1.0	0	0	0	0
	tewte	0.0	0	0	1	0
	telte	0.0	0	0	0	1
	tete	0.0	0	1	0	0
tep-i$$$s21$p4	tepi	0.0	1	0	0	0
	tewi	1.0	0	0	1	0
	teli	0.0	0	0	0	1
	tei	0.0	0	1	0	0
tep-ti$$$s21$p5	tepti	1.0	0	0	0	0
	tewti	0.0	0	0	1	0
	telti	0.0	0	0	0	1
	teti	0.0	0	1	0	0
heup-a$$$s22$p0	heupa	0.0	1	0	0	0
	heuwa	1.0	0	0	1	0
	heula	0.0	0	0	0	1
	heua	0.0	0	1	0	0
heup-ta$$$s22$p1	heupta	1.0	0	0	0	0
	heuwta	0.0	0	0	1	0
	heulta	0.0	0	0	0	1
	heuta	0.0	0	1	0	0
heup-e$$$s22$p2	heupe	0.0	1	0	0	0
	heuwe	1.0	0	0	1	0
	heule	0.0	0	0	0	1
	heue	0.0	0	1	0	0
heup-te$$$s22$p3	heupte	1.0	0	0	0	0
	heuwte	0.0	0	0	1	0
	heulte	0.0	0	0	0	1
	heute	0.0	0	1	0	0
heup-i$$$s22$p4	heupi	0.0	1	0	0	0
	heuwi	1.0	0	0	1	0
	heuli	0.0	0	0	0	1
	heui	0.0	0	1	0	0
heup-ti$$$s22$p5	heupti	1.0	0	0	0	0
	heuwti	0.0	0	0	1	0
	heulti	0.0	0	0	0	1
	heuti	0.0	0	1	0	0
rwip-a$$$s23$p0	rwipa	0.0	1	0	0	0
	rwiwa	1.0	0	0	1	0
	rwila	0.0	0	0	0	1
	rwia	0.0	0	1	0	0
rwip-ta$$$s23$p1	rwipta	1.0	0	0	0	0
	rwiwta	0.0	0	0	1	0
	rwilta	0.0	0	0	0	1
	rwita	0.0	0	1	0	0
rwip-e$$$s23$p2	rwipe	0.0	1	0	0	0
	rwiwe	1.0	0	0	1	0
	rwile	0.0	0	0	0	1
	rwie	0.0	0	1	0	0
rwip-te$$$s23$p3	rwipte	1.0	0	0	0	0
	rwiwte	0.0	0	0	1	0
	rwilte	0.0	0	0	0	1
	rwite	0.0	0	1	0	0
rwip-i$$$s23$p4	rwipi	0.0	1	0	0	0
	rwiwi	1.0	0	0	1	0
	rwili	0.0	0	0	0	1
	rwii	0.0	0	1	0	0
rwip-ti$$$s23$p5	rwipti	1.0	0	0	0	0
	rwiwti	0.0	0	0	1	0
	rwilti	0.0	0	0	0	1
	rwiti	0.0	0	1	0	0
jjwip-a$$$s24$p0	jjwipa	0.0	1	0	0	0
	jjwiwa	1.0	0	0	1	0
	jjwila	0.0	0	0	0	1
	jjwia	0.0	0	1	0	0
jjwip-ta$$$s24$p1	jjwipta	1.0	0	0	0	0
	jjwiwta	0.0	0	0	1	0
	jjwilta	0.0	0	0	0	1
	jjwita	0.0	0	1	0	0
jjwip-e$$$s24$p2	jjwipe	0.0	1	0	0	0
	jjwiwe	1.0	0	0	1	0
	jjwile	0.0	0	0	0	1
	jjwie	0.0	0	1	0	0
jjwip-te$$$s24$p3	jjwipte	1.0	0	0	0	0
	jjwiwte	0.0	0	0	1	0
	jjwilte	0.0	0	0	0	1
	jjwite	0.0	0	1	0	0
jjwip-i$$$s24$p4	jjwipi	0.0	1	0	0	0
	jjwiwi	1.0	0	0	1	0
	jjwili	0.0	0	0	0	1
	jjwii	0.0	0	1	0	0
jjwip-ti$$$s24$p5	jjwipti	1.0	0	0	0	0
	jjwiwti	0.0	0	0	1	0
	jjwilti	0.0	0	0	0	1
	jjwiti	0.0	0	1	0	0
paep-a$$$s25$p0	paepa	0.0	1	0	0	0
	paewa	1.0	0	0	1	0
	paela	0.0	0	0	0	1
	paea	0.0	0	1	0	0
paep-ta$$$s25$p1	paepta	1.0	0	0	0	0
	paewta	0.0	0	0	1	0
	paelta	0.0	0	0	0	1
	paeta	0.0	0	1	0	0
paep-e$$$s25$p2	paepe	0.0	1	0	0	0
	paewe	1.0	0	0	1	0
	paele	0.0	0	0	0	1
	paee	0.0	0	1	0	0
paep-te$$$s25$p3	paepte	1.0	0	0	0	0
	paewte	0.0	0	0	1	0
	paelte	0.0	0	0	0	1
	paete	0.0	0	1	0	0
paep-i$$$s25$p4	paepi	0.0	1	0	0	0
	paewi	1.0	0	0	1	0
	paeli	0.0	0	0	0	1
	paei	0.0	0	1	0	0
paep-ti$$$s25$p5	paepti	1.0	0	0	0	0
	paewti	0.0	0	0	1	0
	paelti	0.0	0	0	0	1
	paeti	0.0	0	1	0	0
bop-a$$$s26$p0	bopa	0.0	1	0	0	0
	bowa	1.0	0	0	1	0
	bola	0.0	0	0	0	1
	boa	0.0	0	1	0	0
bop-ta$$$s26$p1	bopta	1.0	0	0	0	0
	bowta	0.0	0	0	1	0
	bolta	0.0	0	0	0	1
	bota	0.0	0	1	0	0
bop-e$$$s26$p2	bope	0.0	1	0	0	0
	bowe	1.0	0	0	1	0
	bole	0.0	0	0	0	1
	boe	0.0	0	1	0	0
bop-te$$$s26$p3	bopte	1.0	0	0	0	0
	bowte	0.0	0	0	1	0
	bolte	0.0	0	0	0	1
	bote	0.0	0	1	0	0
bop-i$$$s26$p4	bopi	0.0	1	0	0	0
	bowi	1.0	0	0	1	0
	boli	0.0	0	0	0	1
	boi	0.0	0	1	0	0
bop-ti$$$s26$p5	bopti	1.0	0	0	0	0
	bowti	0.0	0	0	1	0
	bolti	0.0	0	0	0	1
	boti	0.0	0	1	0	0
bup-a$$$s27$p0	bupa	0.0	1	0	0	0
	buwa	1.0	0	0	1	0
	bula	0.0	0	0	0	1
	bua	0.0	0	1	0	0
bup-ta$$$s27$p1	bupta	1.0	0	0	0	0
