s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3
			*V-Obs-V	Max	ID-lat
	sie	0.0	0	1	0
sit-te$$$s11$p3	sitte	1.0	0	0	0
	silte	0.0	0	0	1
	site	0.0	0	1	0
ges-a$$$s12$p0	gesa	0.0	1	0	0
	gela	0.0	0	0	1
	gea	1.0	0	1	0
ges-ta$$$s12$p1	getta	1.0	0	0	0
	gelta	0.0	0	0	1
	geta	0.0	0	1	0
ges-e$$$s12$p2	gese	0.0	1	0	0
	gele	0.0	0	0	1
	gee	1.0	0	1	0
ges-te$$$s12$p3	gette	1.0	0	0	0
	gelte	0.0	0	0	1
	gete	0.0	0	1	0
kkaes-a$$$s13$p0	kkaesa	0.0	1	0	0
	kkaela	0.0	0	0	1
	kkaea	1.0	0	1	0
kkaes-ta$$$s13$p1	kkaetta	1.0	0	0	0
	kkaelta	0.0	0	0	1
	kkaeta	0.0	0	1	0
kkaes-e$$$s13$p2	kkaese	0.0	1	0	0
	kkaele	0.0	0	0	1
	kkaee	1.0	0	1	0
kkaes-te$$$s13$p3	kkaette	1.0	0	0	0
	kkaelte	0.0	0	0	1
	kkaete	0.0	0	1	0
hoes-a$$$s14$p0	hoesa	0.0	1	0	0
	hoela	0.0	0	0	1
	hoea	1.0	0	1	0
hoes-ta$$$s14$p1	hoetta	1.0	0	0	0
	hoelta	0.0	0	0	1
	hoeta	0.0	0	1	0
hoes-e$$$s14$p2	hoese	0.0	1	0	0
	hoele	0.0	0	0	1
	hoee	1.0	0	1	0
hoes-te$$$s14$p3	hoette	1.0	0	0	0
	hoelte	0.0	0	0	1
	hoete	0.0	0	1	0
koes-a$$$s15$p0	koesa	0.0	1	0	0
	koela	0.0	0	0	1
	koea	1.0	0	1	0
koes-ta$$$s15$p1	koetta	1.0	0	0	0
	koelta	0.0	0	0	1
	koeta	0.0	0	1	0
koes-e$$$s15$p2	koese	0.0	1	0	0
	koele	0.0	0	0	1
	koee	1.0	0	1	0
koes-te$$$s15$p3	koette	1.0	0	0	0
	koelte	0.0	0	0	1
	koete	0.0	0	1	0
nos-a$$$s16$p0	nosa	0.0	1	0	0
	nola	0.0	0	0	1
	noa	1.0	0	1	0
nos-ta$$$s16$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
nos-e$$$s16$p2	nose	0.0	1	0	0
	nole	0.0	0	0	1
	noe	1.0	0	1	0
nos-te$$$s16$p3	notte	1.0	0	0	0
	nolte	0.0	0	0	1
	note	0.0	0	1	0
poes-a$$$s17$p0	poesa	1.0	1	0	0
	poela	0.0	0	0	1
	poea	0.0	0	1	0
poes-ta$$$s17$p1	poetta	1.0	0	0	0
	poelta	0.0	0	0	1
	poeta	0.0	0	1	0
poes-e$$$s17$p2	poese	1.0	1	0	0
	poele	0.0	0	0	1
	poee	0.0	0	1	0
poes-te$$$s17$p3	poette	1.0	0	0	0
	poelte	0.0	0	0	1
	poete	0.0	0	1	0
meos-a$$$s18$p0	meosa	1.0	1	0	0
	meola	0.0	0	0	1
	meoa	0.0	0	1	0
meos-ta$$$s18$p1	meotta	1.0	0	0	0
	meolta	0.0	0	0	1
	meota	0.0	0	1	0
meos-e$$$s18$p2	meose	1.0	1	0	0
	meole	0.0	0	0	1
	meoe	0.0	0	1	0
meos-te$$$s18$p3	meotte	1.0	0	0	0
	meolte	0.0	0	0	1
	meote	0.0	0	1	0
jjaes-a$$$s19$p0	jjaesa	1.0	1	0	0
	jjaela	0.0	0	0	1
	jjaea	0.0	0	1	0
jjaes-ta$$$s19$p1	jjaetta	1.0	0	0	0
	jjaelta	0.0	0	0	1
	jjaeta	0.0	0	1	0
jjaes-e$$$s19$p2	jjaese	1.0	1	0	0
	jjaele	0.0	0	0	1
	jjaee	0.0	0	1	0
jjaes-te$$$s19$p3	jjaette	1.0	0	0	0
	jjaelte	0.0	0	0	1
	jjaete	0.0	0	1	0
ches-a$$$s20$p0	chesa	1.0	1	0	0
	chela	0.0	0	0	1
	chea	0.0	0	1	0
ches-ta$$$s20$p1	chetta	1.0	0	0	0
	chelta	0.0	0	0	1
	cheta	0.0	0	1	0
ches-e$$$s20$p2	chese	1.0	1	0	0
	chele	0.0	0	0	1
	chee	0.0	0	1	0
ches-te$$$s20$p3	chette	1.0	0	0	0
	chelte	0.0	0	0	1
	chete	0.0	0	1	0
