s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3	p4	p5
			*V-Obs-V	Max	ID-lat
	joli	0.0	0	0	1
	joi	0.0	0	1	0
jot-ti$$$s7$p5	jotti	1.0	0	0	0
	jolti	0.0	0	0	1
	joti	0.0	0	1	0
pput-a$$$s8$p0	pputa	1.0	1	0	0
	ppula	0.0	0	0	1
	ppua	0.0	0	1	0
pput-ta$$$s8$p1	pputta	1.0	0	0	0
	ppulta	0.0	0	0	1
	pputa	0.0	0	1	0
pput-e$$$s8$p2	ppute	1.0	1	0	0
	ppule	0.0	0	0	1
	ppue	0.0	0	1	0
pput-te$$$s8$p3	pputte	1.0	0	0	0
	ppulte	0.0	0	0	1
	ppute	0.0	0	1	0
pput-i$$$s8$p4	pputi	1.0	1	0	0
	ppuli	0.0	0	0	1
	ppui	0.0	0	1	0
pput-ti$$$s8$p5	pputti	1.0	0	0	0
	ppulti	0.0	0	0	1
	pputi	0.0	0	1	0
nat-a$$$s9$p0	nata	1.0	1	0	0
	nala	0.0	0	0	1
	naa	0.0	0	1	0
nat-ta$$$s9$p1	natta	1.0	0	0	0
	nalta	0.0	0	0	1
	nata	0.0	0	1	0
nat-e$$$s9$p2	nate	1.0	1	0	0
	nale	0.0	0	0	1
	nae	0.0	0	1	0
nat-te$$$s9$p3	natte	1.0	0	0	0
	nalte	0.0	0	0	1
	nate	0.0	0	1	0
nat-i$$$s9$p4	nati	1.0	1	0	0
	nali	0.0	0	0	1
	nai	0.0	0	1	0
nat-ti$$$s9$p5	natti	1.0	0	0	0
	nalti	0.0	0	0	1
	nati	0.0	0	1	0
kkut-a$$$s10$p0	kkuta	1.0	1	0	0
	kkula	0.0	0	0	1
	kkua	0.0	0	1	0
kkut-ta$$$s10$p1	kkutta	1.0	0	0	0
	kkulta	0.0	0	0	1
	kkuta	0.0	0	1	0
kkut-e$$$s10$p2	kkute	1.0	1	0	0
	kkule	0.0	0	0	1
	kkue	0.0	0	1	0
kkut-te$$$s10$p3	kkutte	1.0	0	0	0
	kkulte	0.0	0	0	1
	kkute	0.0	0	1	0
kkut-i$$$s10$p4	kkuti	1.0	1	0	0
	kkuli	0.0	0	0	1
	kkui	0.0	0	1	0
kkut-ti$$$s10$p5	kkutti	1.0	0	0	0
	kkulti	0.0	0	0	1
	kkuti	0.0	0	1	0
sit-a$$$s11$p0	sita	1.0	1	0	0
	sila	0.0	0	0	1
	sia	0.0	0	1	0
sit-ta$$$s11$p1	sitta	1.0	0	0	0
	silta	0.0	0	0	1
	sita	0.0	0	1	0
sit-e$$$s11$p2	site	1.0	1	0	0
	sile	0.0	0	0	1
	sie	0.0	0	1	0
sit-te$$$s11$p3	sitte	1.0	0	0	0
	silte	0.0	0	0	1
	site	0.0	0	1	0
sit-i$$$s11$p4	siti	1.0	1	0	0
	sili	0.0	0	0	1
	sii	0.0	0	1	0
sit-ti$$$s11$p5	sitti	1.0	0	0	0
	silti	0.0	0	0	1
	siti	0.0	0	1	0
ges-a$$$s12$p0	gesa	0.0	1	0	0
	gela	0.0	0	0	1
	gea	1.0	0	1	0
ges-ta$$$s12$p1	getta	1.0	0	0	0
	gelta	0.0	0	0	1
	geta	0.0	0	1	0
ges-e$$$s12$p2	gese	0.0	1	0	0
	gele	0.0	0	0	1
	gee	1.0	0	1	0
ges-te$$$s12$p3	gette	1.0	0	0	0
	gelte	0.0	0	0	1
	gete	0.0	0	1	0
ges-i$$$s12$p4	gesi	0.0	1	0	0
	geli	0.0	0	0	1
	gei	1.0	0	1	0
ges-ti$$$s12$p5	getti	1.0	0	0	0
	gelti	0.0	0	0	1
	geti	0.0	0	1	0
kkaes-a$$$s13$p0	kkaesa	0.0	1	0	0
	kkaela	0.0	0	0	1
	kkaea	1.0	0	1	0
kkaes-ta$$$s13$p1	kkaetta	1.0	0	0	0
	kkaelta	0.0	0	0	1
	kkaeta	0.0	0	1	0
kkaes-e$$$s13$p2	kkaese	0.0	1	0	0
	kkaele	0.0	0	0	1
	kkaee	1.0	0	1	0
kkaes-te$$$s13$p3	kkaette	1.0	0	0	0
	kkaelte	0.0	0	0	1
	kkaete	0.0	0	1	0
kkaes-i$$$s13$p4	kkaesi	0.0	1	0	0
	kkaeli	0.0	0	0	1
	kkaei	1.0	0	1	0
kkaes-ti$$$s13$p5	kkaetti	1.0	0	0	0
	kkaelti	0.0	0	0	1
	kkaeti	0.0	0	1	0
hoes-a$$$s14$p0	hoesa	0.0	1	0	0
	hoela	0.0	0	0	1
	hoea	1.0	0	1	0
hoes-ta$$$s14$p1	hoetta	1.0	0	0	0
	hoelta	0.0	0	0	1
	hoeta	0.0	0	1	0
hoes-e$$$s14$p2	hoese	0.0	1	0	0
	hoele	0.0	0	0	1
	hoee	1.0	0	1	0
hoes-te$$$s14$p3	hoette	1.0	0	0	0
	hoelte	0.0	0	0	1
	hoete	0.0	0	1	0
hoes-i$$$s14$p4	hoesi	0.0	1	0	0
	hoeli	0.0	0	0	1
	hoei	1.0	0	1	0
hoes-ti$$$s14$p5	hoetti	1.0	0	0	0
	hoelti	0.0	0	0	1
	hoeti	0.0	0	1	0
koes-a$$$s15$p0	koesa	0.0	1	0	0
	koela	0.0	0	0	1
	koea	1.0	0	1	0
koes-ta$$$s15$p1	koetta	1.0	0	0	0
	koelta	0.0	0	0	1
	koeta	0.0	0	1	0
koes-e$$$s15$p2	koese	0.0	1	0	0
	koele	0.0	0	0	1
	koee	1.0	0	1	0
koes-te$$$s15$p3	koette	1.0	0	0	0
	koelte	0.0	0	0	1
	koete	0.0	0	1	0
koes-i$$$s15$p4	koesi	0.0	1	0	0
	koeli	0.0	0	0	1
	koei	1.0	0	1	0
koes-ti$$$s15$p5	koetti	1.0	0	0	0
	koelti	0.0	0	0	1
	koeti	0.0	0	1	0
nos-a$$$s16$p0	nosa	0.0	1	0	0
	nola	0.0	0	0	1
	noa	1.0	0	1	0
nos-ta$$$s16$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
nos-e$$$s16$p2	nose	0.0	1	0	0
	nole	0.0	0	0	1
	noe	1.0	0	1	0
nos-te$$$s16$p3	notte	1.0	0	0	0
	nolte	0.0	0	0	1
	note	0.0	0	1	0
nos-i$$$s16$p4	nosi	0.0	1	0	0
	noli	0.0	0	0	1
	noi	1.0	0	1	0
nos-ti$$$s16$p5	notti	1.0	0	0	0
	nolti	0.0	0	0	1
	noti	0.0	0	1	0
poes-a$$$s17$p0	poesa	1.0	1	0	0
	poela	0.0	0	0	1
	poea	0.0	0	1	0
poes-ta$$$s17$p1	poetta	1.0	0	0	0
	poelta	0.0	0	0	1
	poeta	0.0	0	1	0
poes-e$$$s17$p2	poese	1.0	1	0	0
	poele	0.0	0	0	1
	poee	0.0	0	1	0
poes-te$$$s17$p3	poette	1.0	0	0	0
	poelte	0.0	0	0	1
	poete	0.0	0	1	0
poes-i$$$s17$p4	poesi	1.0	1	0	0
	poeli	0.0	0	0	1
	poei	0.0	0	1	0
poes-ti$$$s17$p5	poetti	1.0	0	0	0
	poelti	0.0	0	0	1
	poeti	0.0	0	1	0
meos-a$$$s18$p0	meosa	1.0	1	0	0
	meola	0.0	0	0	1
	meoa	0.0	0	1	0
meos-ta$$$s18$p1	meotta	1.0	0	0	0
	meolta	0.0	0	0	1
	meota	0.0	0	1	0
meos-e$$$s18$p2	meose	1.0	1	0	0
	meole	0.0	0	0	1
	meoe	0.0	0	1	0
meos-te$$$s18$p3	meotte	1.0	0	0	0
	meolte	0.0	0	0	1
	meote	0.0	0	1	0
meos-i$$$s18$p4	meosi	1.0	1	0	0
	meoli	0.0	0	0	1
	meoi	0.0	0	1	0
meos-ti$$$s18$p5	meotti	1.0	0	0	0
	meolti	0.0	0	0	1
	meoti	0.0	0	1	0
jjaes-a$$$s19$p0	jjaesa	1.0	1	0	0
	jjaela	0.0	0	0	1
	jjaea	0.0	0	1	0
jjaes-ta$$$s19$p1	jjaetta	1.0	0	0	0
	jjaelta	0.0	0	0	1
	jjaeta	0.0	0	1	0
jjaes-e$$$s19$p2	jjaese	1.0	1	0	0
	jjaele	0.0	0	0	1
	jjaee	0.0	0	1	0
jjaes-te$$$s19$p3	jjaette	1.0	0	0	0
	jjaelte	0.0	0	0	1
	jjaete	0.0	0	1	0
jjaes-i$$$s19$p4	jjaesi	1.0	1	0	0
	jjaeli	0.0	0	0	1
	jjaei	0.0	0	1	0
jjaes-ti$$$s19$p5	jjaetti	1.0	0	0	0
	jjaelti	0.0	0	0	1
	jjaeti	0.0	0	1	0
ches-a$$$s20$p0	chesa	1.0	1	0	0
	chela	0.0	0	0	1
	chea	0.0	0	1	0
ches-ta$$$s20$p1	chetta	1.0	0	0	0
	chelta	0.0	0	0	1
	cheta	0.0	0	1	0
ches-e$$$s20$p2	chese	1.0	1	0	0
	chele	0.0	0	0	1
	chee	0.0	0	1	0
ches-te$$$s20$p3	chette	1.0	0	0	0
	chelte	0.0	0	0	1
	chete	0.0	0	1	0
ches-i$$$s20$p4	chesi	1.0	1	0	0
	cheli	0.0	0	0	1
	chei	0.0	0	1	0
ches-ti$$$s20$p5	chetti	1.0	0	0	0
	chelti	0.0	0	0	1
	cheti	0.0	0	1	0
